a,-0.190566,-0.875612,0.443833,-0.143968,0.929141,-0.340545,-0.207961,0.92179,-0.327192,-0.082317,0.945753,-0.314284,-0.069342,0.965555,-0.250788,0.230397,-0.908158,0.349522,-0.150384,0.935364,0.320124,-0.106236,0.946448,0.304876,0.06535,0.94517,0.319972,0.181078,0.907741,0.378441,0.61127,-0.768741,0.188113,0.025293,-0.210995,0.97716,0.193403,-0.195096,0.961526,0.222517,-0.235776,0.945989,0.343438,-0.321398,0.88247,-0.081292,0.992467,0.09166,0.234395,0.58462,-0.77671
b,-0.364511,-0.803608,0.470474,-0.094155,-0.950761,0.295278,-0.035221,-0.949232,0.3126,0.017337,-0.947554,0.319125,0.068252,-0.942693,0.326607,-0.063776,-0.905208,0.420155,-0.085306,-0.96526,0.246974,-0.035269,-0.95611,0.290876,0.016672,-0.950259,0.311015,0.058744,-0.956468,0.285865,0.529586,-0.825087,0.196901,-0.076971,-0.97636,0.201984,-0.035298,-0.962405,0.269314,0.012457,-0.965678,0.259442,0.03743,-0.980226,0.194309,-0.033614,0.974996,-0.219665,0.230328,0.431867,-0.872032
d,-0.479962,-0.564214,0.671788,0.195766,-0.868257,0.455858,-0.130759,0.931655,-0.339001,0.013231,0.946379,-0.322787,0.178419,0.934813,-0.307068,-0.149601,-0.792139,0.591722,0.168782,-0.924948,0.340564,0.142978,0.952668,0.268291,0.31802,0.902686,0.289863,0.5221,0.818543,0.239581,0.240547,-0.888783,0.390132,0.112748,-0.986613,0.117824,0.399213,-0.189356,0.897092,0.406424,-0.236394,0.882575,0.472717,-0.293187,0.831012,-0.023646,0.999066,-0.036153,0.357516,0.501545,-0.787804
f,-0.426161,-0.341328,0.837784,-0.135135,0.902711,-0.408474,0.268026,-0.663147,0.698855,0.098221,-0.803759,0.586792,-0.029142,-0.808103,0.58832,0.140567,-0.608771,0.780794,0.092163,0.962142,0.256494,0.21183,-0.761558,0.612502,0.010043,-0.88535,0.464816,-0.134147,-0.865699,0.482256,0.55161,-0.652613,0.519444,0.322335,-0.056047,0.944965,0.148938,-0.847365,0.509695,-0.067391,-0.935492,0.346862,-0.253122,-0.905022,0.341855,-0.050631,0.958752,-0.279698,0.319593,0.591679,-0.740119
g,0.490924,-0.102865,0.865108,0.388805,-0.169029,0.905682,-0.482904,0.251851,-0.838675,-0.500221,0.135925,-0.855163,-0.442583,0.080844,-0.893076,0.390929,-0.319784,0.863083,0.322019,-0.164087,0.932405,0.170451,0.067105,-0.983079,0.144579,-0.096128,-0.984813,0.172132,-0.250165,-0.952779,0.234839,-0.564604,0.791248,0.241567,-0.157204,0.957566,0.950344,-0.302999,0.070981,0.9405,-0.3252,0.098514,0.883027,-0.429072,0.190159,-0.063855,0.136068,-0.98864,0.046607,0.55561,-0.830136
i,-0.713836,-0.440246,0.54463,-0.010864,0.806051,-0.591747,-0.053221,0.720552,-0.691356,0.136345,0.802509,-0.580852,-0.210433,-0.780109,0.589192,-0.043533,-0.685438,0.726828,-0.139153,0.988916,0.051785,-0.071212,0.993229,-0.091788,0.150718,0.988009,0.033502,-0.235409,-0.831941,0.50245,0.540323,-0.609269,0.580381,-0.177012,0.1483,0.972972,-0.013778,0.226798,0.973844,0.001624,0.15807,0.987427,-0.270468,-0.89677,0.350213,-0.015693,0.953125,-0.30217,0.105685,0.437559,-0.892958
l,0.76844,-0.510497,0.385867,-0.178623,-0.756852,0.628704,0.156784,0.691389,-0.705266,0.257127,0.675404,-0.691169,0.3368,0.710187,-0.618224,0.664982,-0.582052,0.46799,-0.147375,-0.844414,0.515019,0.108612,0.989611,-0.094195,0.257836,0.964212,-0.061773,0.422603,0.905442,0.03978,0.610052,-0.611713,0.503631,-0.102269,-0.93055,0.351593,-0.108288,0.161799,0.980864,-0.075808,0.155898,0.98486,0.011177,0.041485,0.999077,0.110766,0.951009,-0.288641,0.078561,0.650865,-0.755117
u,-0.872173,0.482173,0.082601,-0.1072,-0.026563,0.993883,-0.075046,0.280895,0.9568,0.316124,0.036111,-0.94803,0.424876,0.031957,-0.904687,-0.647461,0.401012,0.648062,-0.140465,-0.219772,0.965386,-0.176996,0.03953,0.983418,0.510394,0.602182,-0.613902,0.667522,0.525032,-0.527974,-0.095815,0.124796,0.987545,-0.173425,-0.442746,0.879716,-0.301553,-0.311546,0.901113,0.195907,0.747503,0.634712,0.252102,0.673556,0.694814,0.214481,0.321814,-0.92219,0.019678,0.355636,-0.934417
v,-0.932785,0.132378,0.335244,0.147358,-0.595978,0.789365,-0.162959,-0.479517,0.862269,0.218869,0.392355,-0.893395,0.386181,0.47803,-0.788893,-0.654277,-0.1218,0.746382,0.156729,-0.683428,0.712995,-0.17509,-0.606303,0.775719,0.2912,0.884152,-0.365345,0.498663,0.834951,-0.232794,-0.035859,-0.377939,0.925136,0.164749,-0.770978,0.615184,-0.182736,-0.712849,0.677092,0.045833,0.535406,0.84335,0.071628,0.384164,0.920482,0.063664,0.693292,-0.717839,-0.036803,0.672589,-0.7391
w,-0.89027,0.248564,0.381622,0.010899,-0.64371,0.765192,-0.112951,-0.644805,0.755955,-0.150817,-0.583098,0.79828,0.524779,0.769492,-0.363991,-0.673916,-0.063137,0.736105,0.005398,-0.728387,0.685144,-0.130813,-0.704917,0.697123,-0.185231,-0.669286,0.719546,0.541171,0.789573,0.289322,-0.163998,-0.417034,0.893973,-0.003349,-0.840857,0.541247,-0.165338,-0.814649,0.555887,-0.237291,-0.792679,0.561563,-0.011739,-0.023116,0.999664,0.105021,0.73733,-0.66732,-0.032177,0.653835,-0.755953
x,-0.484959,-0.112395,0.867284,-0.024057,-0.273042,0.961701,0.074075,0.377832,-0.922906,0.237269,0.332974,-0.912596,0.465591,0.300139,-0.832551,-0.285349,-0.278475,0.917075,-0.057226,-0.420992,0.905257,0.290279,0.814184,-0.502834,0.485366,0.739456,-0.466503,0.736731,0.597295,-0.316964,0.112581,-0.52077,0.846241,-0.099826,-0.604046,0.790673,0.274667,0.491713,0.826302,0.275553,0.465848,0.840866,0.263975,0.338383,0.903224,0.225451,0.698597,-0.679068,0.141062,0.334628,-0.931732
y,0.500779,-0.484178,0.71749,0.281623,0.522193,-0.804986,0.355357,0.513787,-0.780861,0.488886,0.619829,-0.613842,-0.159634,0.327768,0.931174,0.387624,-0.492105,0.779474,0.123767,0.936057,-0.329361,0.287426,0.919059,-0.26966,0.396055,0.916136,-0.061938,-0.332183,0.114605,0.936226,0.441511,-0.489414,0.752025,-0.263445,0.554937,0.789076,-0.143108,0.523802,0.839733,-0.177065,0.413446,0.893146,-0.571433,-0.277888,0.772167,0.295167,0.741431,-0.602625,0.117263,0.493245,-0.861951
